agency,city,state,ntd_id,organization_type,reporter_type,primary_uza_population,agency_voms,mode,tos,mode_voms,fare_revenues_per_unlinked_passenger_trip,fare_revenues_per_total_operating_expense_(recovery_ratio),cost_per_hour,cost_per_passenger,cost_per_passenger_mile,fare_revenues_earned,total_operating_expenses,unlinked_passenger_trips,vehicle_revenue_hours,passenger_miles,vehicle_revenue_miles,year
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3458.0,HR,DO,68.0,0.74,0.19,540.41,3.92,0.82,32305014.0,171688051.0,43752286.0,317702.0,210105497.0,6976333.0,2018
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3458.0,RB,DO,31.0,0.74,0.16,287.71,4.78,0.72,5318843.0,34276862.0,7168515.0,119137.0,47544324.0,1943594.0,2018
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3458.0,LR,DO,196.0,0.74,0.13,435.68,5.69,0.76,49115930.0,377416763.0,66387207.0,866272.0,495011734.0,17999250.0,2018
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3458.0,MB,DO,1750.0,0.8,0.18,179.13,4.33,1.07,208201105.0,1128817799.0,260902211.0,6301677.0,1050459894.0,65506552.0,2018
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3458.0,MB,PT,135.0,0.4,0.1,102.67,3.96,0.83,5101263.0,50338142.0,12723209.0,490280.0,60785294.0,5741745.0,2018
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3458.0,VP,PT,1278.0,4.46,1.04,20.63,4.31,0.1,15295759.0,14770438.0,3428229.0,716034.0,151003912.0,28919140.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,MB,DO,986.0,1.37,0.26,180.48,5.32,1.09,141559189.0,550309447.0,103435175.0,3049172.0,502807522.0,33894208.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,DT,PT,71.0,1.03,0.06,51.78,17.29,1.26,148623.0,2484851.0,143747.0,47986.0,1969214.0,1675833.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,DR,PT,304.0,1.03,0.01,101.82,77.16,7.71,913277.0,68155901.0,883312.0,669349.0,8840480.0,8335875.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,MB,PT,29.0,1.26,0.1,136.94,12.27,3.2,1038089.0,10141948.0,826450.0,74061.0,3171300.0,970734.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,FB,DO,2.0,4.8,0.53,1175.23,9.04,1.81,3189322.0,6007779.0,664365.0,5112.0,3323914.0,49706.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,VP,DO,1608.0,2.09,0.69,18.01,3.01,0.16,7224125.0,10427848.0,3464738.0,579024.0,65559773.0,15043713.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,TB,DO,140.0,1.32,0.33,154.68,3.98,2.08,23655207.0,71487600.0,17950742.0,462179.0,34367474.0,3086246.0,2018
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3150.0,SR,DO,10.0,0.83,0.13,246.69,6.23,5.66,1405910.0,10503016.0,1685668.0,42576.0,1856308.0,207850.0,2018
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3139.0,HR,DO,888.0,2.34,0.51,295.22,4.56,0.79,536496025.0,1044384320.0,229233254.0,3537625.0,1314002629.0,81751483.0,2018
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3139.0,DR,PT,729.0,4.0,0.07,58.94,55.63,5.26,9041285.0,125784310.0,2261107.0,2134116.0,23930248.0,20337418.0,2018
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3139.0,DT,PT,244.0,5.34,0.05,154.01,107.88,5.86,659001.0,13323987.0,123505.0,86511.0,2273415.0,2077424.0,2018
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3139.0,MB,DO,1278.0,1.03,0.18,179.88,5.66,1.85,123209808.0,677631392.0,119681096.0,3767231.0,366498831.0,37061070.0,2018
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,2711.0,MB,DO,1569.0,1.15,0.34,140.59,3.36,1.38,279555025.0,814581632.0,242173010.0,5794197.0,591323738.0,52314606.0,2018
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,2711.0,HR,DO,1142.0,1.39,0.51,151.88,2.74,0.44,314065224.0,617865221.0,225894953.0,4068066.0,1401502999.0,73461555.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,CB,PT,64.0,2.85,0.47,140.91,6.11,0.32,5144911.0,11006029.0,1802379.0,78109.0,33923059.0,2194786.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,MB,DO,598.0,0.5,0.09,117.21,5.61,1.18,25200168.0,281474853.0,50175599.0,2401525.0,238829128.0,29226868.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,VP,PT,570.0,3.79,0.65,47.85,5.87,0.19,2908628.0,4504483.0,766954.0,94141.0,23629031.0,3492035.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,VP,DO,562.0,3.37,1.12,25.43,3.02,0.1,3746358.0,3354280.0,1110373.0,131902.0,34502571.0,4926881.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,LR,DO,54.0,0.28,0.07,264.14,4.18,1.48,5307172.0,79277412.0,18980255.0,300133.0,53624968.0,3535806.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,DR,PT,327.0,0.99,0.03,47.66,29.43,2.75,1760157.0,52225720.0,1774466.0,1095704.0,19003294.0,17168294.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,CB,DO,248.0,2.76,0.33,188.72,8.45,0.44,16741957.0,51225658.0,6062400.0,271439.0,115745334.0,6771331.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,DT,PT,135.0,1.25,0.09,49.6,14.61,1.39,310508.0,3632683.0,248709.0,73234.0,2619565.0,2188481.0,2018
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2659.0,MB,PT,101.0,0.5,0.09,103.57,5.36,1.23,4679220.0,50235648.0,9379412.0,485050.0,40980999.0,5850057.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,FB,PT,9.0,7.35,0.82,589.4,8.94,1.12,11007657.0,13390544.0,1497251.0,22719.0,11986627.0,227678.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,MB,PT,8.0,0.21,0.06,86.84,3.36,1.53,187120.0,2959597.0,881853.0,34081.0,1932775.0,400947.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,MB,DO,775.0,0.95,0.23,174.17,4.04,1.56,96475093.0,411614672.0,101809480.0,2363242.0,263405058.0,21180599.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,DR,PT,653.0,2.93,0.05,78.82,57.99,7.3,5737517.0,113410825.0,1955578.0,1438886.0,15540423.0,16315237.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,CR,PT,436.0,6.97,0.62,449.43,11.32,0.55,229103721.0,371909742.0,32859741.0,827523.0,680949680.0,24565346.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,RB,DO,34.0,1.0,0.3,278.79,3.34,1.76,10590933.0,35219290.0,10540640.0,126329.0,19967570.0,1032038.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,HR,DO,336.0,1.37,0.74,192.81,1.84,0.52,223384553.0,301638488.0,163515168.0,1564423.0,576500980.0,23313396.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,TB,DO,21.0,0.73,0.06,487.09,12.27,5.28,1888300.0,31542892.0,2570292.0,64758.0,5976543.0,549870.0,2018
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2423.0,LR,DO,151.0,1.43,0.38,302.62,3.76,1.51,81353000.0,213658148.0,56768835.0,706032.0,141734607.0,5986849.0,2018
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2372.0,MB,PT,6.0,1.39,0.1,111.37,13.51,2.43,112328.0,1090670.0,80717.0,9793.0,449102.0,165337.0,2018
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2372.0,DR,PT,409.0,3.86,0.1,58.61,38.29,5.35,6004836.0,59532018.0,1554597.0,1015704.0,11118969.0,10478405.0,2018
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2372.0,CR,DO,349.0,4.49,0.48,295.31,9.42,0.7,144711466.0,303658609.0,32245981.0,1028269.0,436335049.0,20153941.0,2018
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2372.0,TB,DO,30.0,1.17,0.41,162.66,2.83,1.39,5951062.0,14365949.0,5085024.0,88318.0,10309799.0,741986.0,2018
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2372.0,HR,DO,285.0,1.2,0.56,216.47,2.13,0.56,113037368.0,200674425.0,94005114.0,927014.0,359405111.0,16971260.0,2018
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2372.0,SR,DO,121.0,1.16,0.39,209.9,2.96,1.28,29083693.0,74007135.0,24999649.0,352583.0,57709428.0,3096378.0,2018
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2372.0,MB,DO,1172.0,1.07,0.27,155.1,3.9,1.38,172156198.0,629760584.0,161454460.0,4060275.0,455192052.0,40164866.0,2018
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1683.0,MB,DO,638.0,0.77,0.16,163.0,4.78,1.27,49439100.0,305037900.0,63797467.0,1871426.0,239277791.0,20816666.0,2018
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1683.0,HR,DO,54.0,1.29,0.18,344.37,7.16,1.74,11513200.0,63832691.0,8916972.0,185363.0,36790501.0,4633205.0,2018
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1683.0,DR,PT,466.0,1.5,0.03,67.28,45.63,4.83,3183387.0,97039187.0,2126485.0,1442215.0,20078289.0,17943666.0,2018
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1683.0,DT,PT,38.0,2.57,0.11,104.26,23.88,4.66,2087206.0,19396997.0,812390.0,186045.0,4165815.0,3229314.0,2018
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1683.0,LR,DO,38.0,0.97,0.16,290.52,5.93,0.98,7177100.0,43950196.0,7416504.0,151280.0,44778153.0,2988892.0,2018
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1683.0,CR,PT,159.0,5.63,0.33,941.73,17.26,0.58,52484000.0,161020606.0,9326683.0,170983.0,275491545.0,6508708.0,2018
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1683.0,DR,DO,10.0,1.05,0.02,97.74,68.99,9.46,16278.0,1066902.0,15465.0,10916.0,112793.0,61798.0,2018
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1510.0,MB,PT,83.0,1.2,0.14,107.85,8.44,1.72,1952696.0,13774167.0,1632656.0,127716.0,8029586.0,1617218.0,2018
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1510.0,DR,DO,8.0,1.58,0.08,52.03,19.84,3.13,68917.0,863641.0,43530.0,16598.0,276053.0,187551.0,2018
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1510.0,VP,DO,567.0,1.64,0.43,23.17,3.79,0.17,2479123.0,5714173.0,1507667.0,246572.0,34117244.0,7256477.0,2018
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1510.0,MB,DO,553.0,1.22,0.17,114.32,7.03,1.12,31683921.0,183141256.0,26040771.0,1601968.0,163060559.0,22598654.0,2018
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1510.0,DT,PT,48.0,5.14,0.15,88.69,34.53,4.7,499695.0,3355884.0,97176.0,37838.0,713837.0,683346.0,2018
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1510.0,DR,PT,251.0,1.55,0.06,80.53,24.33,3.63,1370024.0,21559918.0,886056.0,267735.0,5936929.0,3891259.0,2018
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1495.0,DT,PT,93.0,3.38,0.26,64.96,12.87,4.19,530687.0,2023702.0,157185.0,31155.0,482572.0,451901.0,2018
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1495.0,CB,DO,6.0,1.53,0.11,167.33,14.17,0.69,163658.0,1513458.0,106831.0,9045.0,2190498.0,216160.0,2018
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1495.0,VP,PT,546.0,4.77,1.0,25.1,4.79,0.14,6116817.0,6145300.0,1281733.0,244825.0,43993911.0,9209531.0,2018
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1495.0,DR,PT,401.0,4.44,0.09,101.99,48.84,4.39,6610251.0,72775552.0,1490193.0,713591.0,16571985.0,11517869.0,2018
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1495.0,MB,DO,234.0,1.1,0.24,132.8,4.67,1.22,29666932.0,125763540.0,26928446.0,946984.0,103488637.0,11096815.0,2018
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1495.0,CB,PT,21.0,1.31,0.07,115.39,19.82,1.09,143582.0,2178937.0,109928.0,18883.0,1993024.0,385478.0,2018
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1495.0,MB,PT,194.0,0.98,0.19,98.51,5.09,1.34,11942696.0,61680909.0,12127541.0,626110.0,45960212.0,7659726.0,2018
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1457.0,MB,DO,485.0,1.08,0.2,159.59,5.37,1.11,51718021.0,256545975.0,47758949.0,1607540.0,230220501.0,21081198.0,2018
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1457.0,DR,PT,434.0,3.27,0.08,69.91,42.92,4.9,4008854.0,52633906.0,1226319.0,752928.0,10744485.0,11893494.0,2018
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1457.0,MB,PT,355.0,1.1,0.27,76.74,4.14,1.06,25099917.0,94393352.0,22781565.0,1230102.0,89162452.0,14913711.0,2018
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1457.0,CR,PT,20.0,3.25,0.46,760.16,7.06,0.53,24768171.0,53819261.0,7619589.0,70800.0,101771560.0,2563181.0,2018
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1457.0,LR,DO,163.0,1.49,0.31,169.83,4.83,0.68,37636009.0,122305271.0,25322058.0,720150.0,180411468.0,11758421.0,2018
Puerto Rico Highway and Transportation Authority - P̼blico,San Juan,PR,40105,State Government Unit or Department of Transportation,Full Reporter,2148346.0,1426.0,PB,PT,1426.0,1.51,0.96,19.77,1.58,0.39,19437304.0,20301733.0,12888313.0,1026778.0,52179019.0,11510317.0,2018
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1396.0,CB,PT,9.0,0.75,0.03,222.52,25.13,0.65,216851.0,7292542.0,290160.0,32772.0,11238427.0,1037780.0,2018
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1396.0,HR,DO,76.0,0.79,0.15,292.07,5.18,0.71,15124286.0,99282985.0,19150308.0,339929.0,139494732.0,7384249.0,2018
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1396.0,MB,DO,646.0,1.22,0.17,179.65,7.07,1.15,61526944.0,357853000.0,50638153.0,1991901.0,310897388.0,25326531.0,2018
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1396.0,MB,PT,45.0,1.28,0.29,48.64,4.35,0.84,1064420.0,3617574.0,831603.0,74368.0,4325111.0,848633.0,2018
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1396.0,DR,PT,375.0,3.4,0.11,48.53,31.98,2.46,5920565.0,55735134.0,1743023.0,1148425.0,22663508.0,13549257.0,2018
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1396.0,VP,PT,224.0,3.0,0.97,15.79,3.1,0.1,1451748.0,1502441.0,484458.0,95166.0,15412476.0,3521574.0,2018
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1396.0,MG,DO,21.0,0.0,0.0,258.28,3.19,3.49,0.0,28069082.0,8802523.0,108676.0,8038902.0,1108496.0,2018
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,1168.0,MB,PT,9.0,1.51,0.23,90.5,6.46,5.39,604607.0,2580979.0,399621.0,28520.0,479073.0,182959.0,2018
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,1168.0,FB,PT,2.0,1.46,0.06,1064.59,24.01,5.84,240153.0,3950685.0,164524.0,3711.0,676061.0,43222.0,2018
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,1168.0,CR,DO,1157.0,8.06,0.59,576.74,13.7,0.58,740271044.0,1258638462.0,91873366.0,2182316.0,2154521183.0,67798388.0,2018
Access Services  ,El Monte,CA,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1144.0,DR,PT,580.0,2.21,0.07,53.18,33.1,2.84,4913876.0,73459017.0,2227184.0,1386063.0,25915355.0,19967604.0,2018
Access Services  ,El Monte,CA,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1144.0,DT,PT,564.0,2.29,0.07,91.03,34.54,2.36,4932183.0,74467559.0,2156072.0,818035.0,31505047.0,17935869.0,2018
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243.0,1113.0,LR,DO,92.0,1.01,0.25,197.14,3.99,0.8,18089935.0,71414293.0,17899716.0,362257.0,89112550.0,6655535.0,2018
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243.0,1113.0,DR,DO,67.0,1.42,0.03,103.86,47.85,4.49,348554.0,11773014.0,246064.0,113351.0,2623078.0,1759473.0,2018
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243.0,1113.0,MB,PT,6.0,0.2,0.01,88.29,21.52,7.1,13111.0,1395392.0,64852.0,15804.0,196496.0,210359.0,2018
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243.0,1113.0,CR,DO,50.0,1.45,0.17,263.28,8.54,0.33,7375985.0,43421951.0,5082168.0,164930.0,129673508.0,5429232.0,2018
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243.0,1113.0,DR,PT,45.0,0.35,0.01,103.34,46.54,3.56,51912.0,6922557.0,148752.0,66991.0,1944598.0,1039455.0,2018
