agency,city,state,legacy_ntd_id,ntd_id,organization_type,reporter_type,primary_uza__population,agency_voms,mode,tos,mode_voms,fare_revenues_per_unlinked_passenger_trip,fare_revenues_per_total_operating_expense_(recovery_ratio),cost_per__hour,passengers_per_hour,cost_per_passenger,cost_per_passenger_mile,fare_revenues_earned,total_operating_expenses,unlinked_passenger_trips,vehicle_revenue_hours,passenger_miles,vehicle_revenue_miles,any_data_questionable?,year,uace_code,uza_name,primary_uza_population,cost_per_hour
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3469.0,RB,DO,26.0,0.73,0.19,231.8,62.0,3.74,0.57,4997045.0,25666876.0,6860145.0,110727.0,45206002.0,1719522.0,No,2019,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3469.0,LR,DO,198.0,0.72,0.1,515.13,68.8,7.48,0.96,42986478.0,446368668.0,59655365.0,866517.0,462756222.0,17757242.0,No,2019,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3469.0,MB,DO,1784.0,0.72,0.15,190.75,40.1,4.75,1.16,182029213.0,1209706503.0,254580163.0,6341989.0,1044644827.0,65595822.0,No,2019,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3469.0,MB,PT,134.0,0.31,0.07,107.12,24.8,4.31,0.9,3849877.0,53066904.0,12307451.0,495401.0,59202628.0,5775759.0,No,2019,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3469.0,VP,PT,1259.0,4.81,1.01,21.49,4.5,4.74,0.11,15580993.0,15376446.0,3240720.0,715408.0,142563803.0,28602524.0,No,2019,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3391.0,MB,PT,93.0,3.08,0.37,174.69,20.8,8.39,1.12,3720334.0,10081260.0,1206050.0,57911.0,9025834.0,901961.0,No,2019,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3391.0,HR,DO,920.0,2.33,0.48,303.38,62.4,4.86,0.85,533518013.0,1112675403.0,228974810.0,3667616.0,1313511151.0,85106645.0,No,2019,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3391.0,DR,PT,754.0,3.64,0.05,73.58,1.0,70.58,7.14,8058636.0,156173845.0,2212686.0,2122506.0,21875322.0,19685883.0,No,2019,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3391.0,DT,PT,338.0,5.33,0.04,202.45,1.5,137.08,7.43,722503.0,18592915.0,135638.0,91841.0,2502448.0,2283499.0,No,2019,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770.0,3391.0,MB,DO,1286.0,0.99,0.17,193.68,32.8,5.91,2.01,120290807.0,721829401.0,122127065.0,3726938.0,358532948.0,36511319.0,No,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,MB,DO,986.0,1.37,0.23,192.17,32.5,5.9,1.29,141830486.0,611275588.0,103527532.0,3180859.0,473228334.0,35407340.0,No,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,DT,PT,89.0,1.07,0.06,47.46,2.6,17.94,1.33,190037.0,3189701.0,177791.0,67214.0,2398907.0,2052404.0,No,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,DR,PT,327.0,1.07,0.01,107.01,1.3,84.63,8.45,949074.0,75141400.0,887915.0,702176.0,8887848.0,8511613.0,No,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,FB,DO,3.0,4.82,0.47,1196.55,116.6,10.26,2.08,3381600.0,7199636.0,701608.0,6017.0,3464136.0,52362.0,No,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,MB,PT,29.0,1.26,0.11,119.34,10.2,11.69,3.03,1050808.0,9755214.0,834720.0,81746.0,3219577.0,1058834.0,No,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,VP,DO,1649.0,2.26,0.74,19.09,6.2,3.06,0.16,7447385.0,10099727.0,3300186.0,528947.0,61644511.0,14648137.0,No,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,TB,DO,140.0,1.35,0.34,164.69,41.2,3.99,2.15,23528006.0,69385308.0,17373451.0,421313.0,32207119.0,2607942.0,Yes,2019,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393.0,3233.0,SR,DO,10.0,0.88,0.14,269.46,43.6,6.18,5.68,1633354.0,11522476.0,1863409.0,42762.0,2027877.0,205470.0,Yes,2019,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,2730.0,MB,DO,1566.0,1.18,0.34,141.77,40.8,3.47,1.42,279224950.0,824288048.0,237276400.0,5814122.0,581741988.0,52816557.0,No,2019,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,2730.0,HR,DO,1164.0,1.42,0.5,153.36,53.7,2.85,0.45,309516440.0,623416178.0,218467141.0,4065132.0,1378128437.0,73574040.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,FB,PT,9.0,7.35,0.77,609.01,63.7,9.56,1.09,11649892.0,15139977.0,1584440.0,24860.0,13942294.0,262174.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,MB,DO,779.0,0.97,0.23,156.04,36.5,4.28,1.66,96518545.0,424586999.0,99301293.0,2721051.0,255494460.0,21357273.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,MB,PT,70.0,0.09,0.02,63.06,10.8,5.85,2.57,85258.0,5562842.0,951692.0,88210.0,2162081.0,1028451.0,Yes,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,DR,PT,617.0,3.25,0.05,90.76,1.3,69.11,8.82,6045296.0,128696163.0,1862279.0,1417991.0,14589884.0,15610789.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,CR,PT,436.0,7.65,0.62,463.3,37.6,12.33,0.59,238575681.0,384352038.0,31177738.0,829590.0,653570994.0,24935847.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,RB,DO,42.0,0.92,0.39,139.51,58.9,2.37,1.17,10627552.0,27230718.0,11490833.0,195184.0,23235147.0,1474538.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,HR,DO,338.0,1.4,0.74,199.57,105.2,1.9,0.53,224415154.0,304267766.0,160351814.0,1524626.0,572046325.0,23062016.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,TB,DO,22.0,0.63,0.08,369.54,47.4,7.8,3.3,1899150.0,23555601.0,3021243.0,63743.0,7133649.0,540018.0,No,2019,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,LR,DO,151.0,1.43,0.42,292.1,86.5,3.38,1.4,81704871.0,192376108.0,56975564.0,658603.0,137719112.0,5698854.0,No,2019,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2390.0,MB,PT,6.0,1.13,0.08,112.68,7.9,14.22,2.5,87819.0,1102992.0,77573.0,9789.0,440720.0,165569.0,No,2019,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2390.0,DR,PT,415.0,3.88,0.09,66.07,1.5,44.75,6.44,5872858.0,67710271.0,1513129.0,1024827.0,10507130.0,10157850.0,No,2019,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2390.0,CR,DO,348.0,4.07,0.45,314.58,35.0,8.98,0.67,141365210.0,311891969.0,34730053.0,991458.0,465744543.0,20325604.0,No,2019,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2390.0,TB,DO,29.0,1.16,0.37,198.32,64.3,3.08,1.51,5194781.0,13867679.0,4495882.0,69927.0,9169225.0,643614.0,No,2019,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2390.0,HR,DO,287.0,1.25,0.56,214.8,97.2,2.21,0.5,113235243.0,200486444.0,90754189.0,933376.0,399537395.0,17078643.0,No,2019,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2390.0,SR,DO,120.0,1.25,0.37,208.12,61.8,3.37,1.32,28532127.0,76849998.0,22816878.0,369266.0,58270354.0,3201148.0,No,2019,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567.0,2390.0,MB,DO,1185.0,1.09,0.26,157.29,37.3,4.22,1.35,168008643.0,648600448.0,153878781.0,4123602.0,479341915.0,41141919.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,MB,PT,99.0,0.5,0.09,106.55,18.2,5.85,1.36,4600559.0,53373690.0,9130881.0,500930.0,39149156.0,6012988.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,CB,PT,64.0,2.94,0.47,145.12,23.1,6.28,0.32,5514287.0,11785438.0,1877893.0,81209.0,36498920.0,2266053.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,MB,DO,613.0,0.51,0.08,125.11,20.6,6.07,1.15,25780652.0,305824660.0,50413144.0,2444491.0,266982461.0,29719729.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,VP,DO,553.0,3.55,1.08,27.21,8.3,3.29,0.11,6364414.0,5891475.0,1791670.0,216522.0,55659344.0,7941973.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,LR,DO,54.0,0.26,0.06,285.37,63.7,4.48,1.59,4774238.0,83097579.0,18556589.0,291188.0,52243069.0,3482906.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,DR,PT,340.0,1.03,0.03,49.3,1.6,30.76,2.76,1842477.0,54944297.0,1786410.0,1114519.0,19904973.0,18197637.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,CB,DO,248.0,2.73,0.3,200.64,22.0,9.12,0.51,16597557.0,55472370.0,6082446.0,276472.0,108607395.0,6865294.0,No,2019,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332.0,2131.0,DT,PT,160.0,1.02,0.08,52.19,4.2,12.52,1.54,318088.0,3908615.0,312184.0,74887.0,2530583.0,2179219.0,No,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,MB,DO,615.0,0.7,0.13,178.36,33.6,5.31,1.36,44870600.0,339883861.0,63988571.0,1905605.0,250693380.0,21201721.0,Yes,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,HR,DO,54.0,1.44,0.13,455.22,42.5,10.71,2.4,10449300.0,77925584.0,7275335.0,171181.0,32470539.0,4380269.0,No,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,DR,PT,461.0,1.12,0.02,78.6,1.5,52.27,5.11,2397001.0,111623095.0,2135482.0,1420210.0,21841558.0,19285400.0,No,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,LR,DO,38.0,0.88,0.13,309.31,45.0,6.88,1.2,6146500.0,47917891.0,6966072.0,154918.0,39816955.0,3019591.0,No,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,DT,PT,38.0,2.43,0.08,133.95,4.2,31.54,6.02,2042712.0,26489120.0,839857.0,197759.0,4399151.0,3307632.0,No,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,CB,PT,280.0,5.21,0.29,263.79,14.7,17.94,0.62,18889000.0,64999296.0,3623587.0,246406.0,104182716.0,6636014.0,No,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,CR,PT,149.0,5.44,0.3,947.23,52.6,18.0,0.61,50023000.0,165458115.0,9190885.0,174676.0,271391388.0,6652197.0,No,2019,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,2203663.0,1647.0,DR,DO,12.0,1.03,0.01,153.62,1.4,111.28,14.08,17675.0,1909591.0,17160.0,12431.0,135581.0,81276.0,No,2019,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1513.0,MB,PT,84.0,1.15,0.13,112.01,12.9,8.71,1.84,1826175.0,13886770.0,1594940.0,123975.0,7562283.0,1577171.0,No,2019,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1513.0,DT,PT,68.0,5.5,0.15,93.78,2.5,37.64,5.11,455046.0,3112481.0,82687.0,33189.0,608527.0,584853.0,No,2019,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1513.0,MB,DO,555.0,1.22,0.16,120.27,15.4,7.8,1.22,30030465.0,191915070.0,24596944.0,1595767.0,157538742.0,22808285.0,No,2019,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1513.0,VP,DO,548.0,1.68,0.42,25.99,6.4,4.05,0.19,2293201.0,5518249.0,1361264.0,212305.0,29521989.0,6493995.0,No,2019,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1513.0,DR,PT,248.0,1.64,0.07,83.77,3.4,24.88,3.6,1370927.0,20836137.0,837431.0,248720.0,5780542.0,3794045.0,No,2019,,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208.0,1513.0,DR,DO,10.0,1.57,0.08,49.29,2.6,19.21,3.16,74473.0,911349.0,47435.0,18490.0,288168.0,209164.0,No,2019,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1485.0,DT,PT,91.0,2.89,0.2,81.58,5.5,14.74,4.64,501318.0,2559735.0,173704.0,31377.0,552065.0,441113.0,No,2019,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1485.0,VP,PT,518.0,4.92,1.04,22.8,4.8,4.73,0.14,6052956.0,5821014.0,1230296.0,255341.0,41926341.0,8919112.0,No,2019,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1485.0,DR,PT,416.0,4.83,0.09,106.4,2.1,51.65,4.66,7217888.0,77144088.0,1493588.0,725014.0,16544563.0,11714799.0,No,2019,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1485.0,MB,DO,239.0,1.13,0.22,139.6,26.8,5.21,1.43,29438135.0,135782823.0,26083374.0,972686.0,95068739.0,11129354.0,No,2019,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1485.0,CB,DO,21.0,1.5,0.1,183.45,12.0,15.3,0.7,160301.0,1631027.0,106598.0,8891.0,2316931.0,207600.0,No,2019,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1485.0,MB,PT,185.0,0.97,0.18,101.72,18.4,5.53,1.42,11243017.0,63979277.0,11559429.0,628982.0,45013479.0,7604763.0,No,2019,,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,1485.0,CB,PT,15.0,1.41,0.07,131.1,6.1,21.48,0.96,136104.0,2075951.0,96665.0,15835.0,2168687.0,316766.0,No,2019,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1483.0,MB,DO,483.0,1.13,0.19,173.61,29.9,5.81,1.25,53739008.0,277232021.0,47678178.0,1596826.0,221931298.0,20985597.0,No,2019,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1483.0,DR,PT,441.0,3.84,0.08,74.23,1.6,45.26,5.14,4529322.0,53359747.0,1179015.0,718803.0,10384133.0,11546344.0,No,2019,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1483.0,CR,PT,44.0,3.4,0.41,508.79,61.6,8.26,0.66,32983228.0,80196126.0,9711377.0,157620.0,121331394.0,5462832.0,No,2019,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1483.0,MB,PT,355.0,1.12,0.25,79.57,17.7,4.49,1.16,24775846.0,99071799.0,22053606.0,1245067.0,85104250.0,14935041.0,No,2019,,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203.0,1483.0,LR,DO,160.0,1.56,0.29,168.59,30.8,5.47,0.75,38362200.0,134501571.0,24585300.0,797784.0,178266835.0,14053945.0,No,2019,,,,
Puerto Rico Highway and Transportation Authority Ã¢â¬â PÃÂºblico,San Juan,PR,4105,40105,State Government Unit or Department of Transportation,Full Reporter,2148346.0,1407.0,PB,PT,1407.0,1.66,0.97,19.6,11.4,1.72,0.39,23989313.0,24860042.0,14414328.0,1268534.0,64482350.0,14045249.0,No,2019,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1370.0,CB,PT,9.0,0.89,0.1,85.77,10.1,8.52,0.22,292197.0,2796567.0,328215.0,32606.0,12520534.0,1034571.0,No,2019,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1370.0,HR,DO,76.0,0.85,0.17,262.24,51.5,5.09,0.69,15739393.0,94181839.0,18494501.0,359148.0,136546053.0,7957230.0,No,2019,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1370.0,MB,PT,64.0,0.94,0.2,49.32,10.6,4.66,1.22,1692834.0,8404116.0,1805006.0,170383.0,6890174.0,2027060.0,No,2019,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1370.0,MB,DO,601.0,1.32,0.18,213.76,28.6,7.48,1.47,63293834.0,357568873.0,47827138.0,1672722.0,242678905.0,23874623.0,No,2019,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1370.0,DR,PT,385.0,3.47,0.1,50.52,1.5,33.24,2.53,6169450.0,59100022.0,1777925.0,1169768.0,23390064.0,13967764.0,No,2019,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379.0,1370.0,VP,PT,214.0,4.15,1.38,15.68,5.2,3.0,0.1,2001289.0,1446606.0,482027.0,92260.0,15091960.0,3236574.0,No,2019,,,,
